location,offense,model_name,model_type,params,mape,mae,rmse,training_months,optimization_method
FL,property-crime,"ARIMA(0, 0, 0)",ARIMA,"{'order': (0, 0, 0)}",26.82,4250.85,4310.88,52,auto_arima (stepwise AIC)
FL,property-crime,"SARIMA(0, 0, 0)(0, 0, 0, 12)",SARIMA,"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 0, 12)}",26.82,4250.85,4310.88,52,auto_arima (stepwise AIC)
FL,property-crime,"Prophet(yearly, cp=0.5, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': True}",10.31,1672.75,1857.06,52,grid search (32 combinations)
FL,homicide,"ARIMA(0, 0, 0)",ARIMA,"{'order': (0, 0, 0)}",66.21,25.04,26.9,52,auto_arima (stepwise AIC)
FL,homicide,"SARIMA(0, 0, 0)(0, 0, 0, 12)",SARIMA,"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 0, 12)}",66.21,25.04,26.9,52,auto_arima (stepwise AIC)
FL,homicide,"Prophet(yearly, cp=0.5, sp=0.1)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.1, 'yearly_seasonality': True}",21.04,10.31,13.08,52,grid search (32 combinations)
FL,burglary,"ARIMA(0, 0, 0)",ARIMA,"{'order': (0, 0, 0)}",38.22,666.72,675.2,52,auto_arima (stepwise AIC)
FL,burglary,"SARIMA(0, 0, 0)(0, 0, 0, 12)",SARIMA,"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 0, 12)}",38.22,666.72,675.2,52,auto_arima (stepwise AIC)
FL,burglary,"Prophet(no-season, cp=0.5, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': False}",14.47,248.44,272.93,52,grid search (32 combinations)
FL,motor-vehicle-theft,"ARIMA(0, 0, 0)",ARIMA,"{'order': (0, 0, 0)}",56.74,623.54,689.56,52,auto_arima (stepwise AIC)
FL,motor-vehicle-theft,"SARIMA(0, 0, 0)(0, 0, 0, 12)",SARIMA,"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 0, 12)}",56.74,623.54,689.56,52,auto_arima (stepwise AIC)
FL,motor-vehicle-theft,"Prophet(yearly, cp=0.5, sp=0.1)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.1, 'yearly_seasonality': True}",20.29,274.19,346.12,52,grid search (32 combinations)
NY,violent-crime,"ARIMA(1, 0, 0)",ARIMA,"{'order': (1, 0, 0)}",14.03,956.25,978.29,52,auto_arima (stepwise AIC)
NY,violent-crime,"SARIMA(1, 0, 0)(1, 0, 0, 12)",SARIMA,"{'order': (1, 0, 0), 'seasonal_order': (1, 0, 0, 12)}",21.82,1484.55,1514.03,52,auto_arima (stepwise AIC)
